1,Jayakumar,8041289576,8095666333,0,0,0,b.jayakumar@emertxe.com,0,0,0,0
2,Jayakumar,8041289576,8095666333,0,0,0,b.jayakumar@emertxe.com,b.jayakumar@emertxe.com,b.jayakumar@emertxe.com,b.jayakumar@emertxe.com,b.jayakumar@emertxe.com
3,Bob,0,0,0,0,0,0,0,0,0,0
4,Bob,0,8041289576,0,0,0,0,0,0,0,0
5,Bob,0,0,0,0,0,email@email.com,email@email.com,email@email.com,0,0
6,Bob,0,0,8041289576,0,0,email@email.com,email@email.com,email@email.com,0,0
7,Bob,8041289576,8041289576,8041289576,0,0,email@email.com,email@email.com,email@email.com,0,0
8,Bob,8041289576,0,0,0,0,email@email.com,email@email.com,email@email.com,0,0
9,Bob,0,0,0,0,0,0,0,0,0,0
10,Joe,0,0,8041289576,0,0,0,0,0,0,0
12,Joe,0,0,0,0,0,0,0,0,0,0
